All,全部
"""Page id should be specified",“应指定页面id
"The CMS block with the ""%1"" ID doesn't exist.","ID为""%1""的CMS 区块不存在。"
"This block no longer exists.",此区块已不存在。
"The block will be removed from the update and all scheduled changes will be lost.",该块将从更新中删除，所有预定的更改将丢失。
"Remove CMS page from Update",从更新中删除CMS页面
"Search Engine Optimisation",搜索引擎的优化
"The page will be removed from the update and all scheduled changes will be lost.",页面将从更新中删除，所有计划的更改都将丢失。
"CMS Pages",CMS网页
"CMS Blocks","CMS 块"
"Delete Customer",删除客户
"Delete Company",删除公司
Companies,公司
"Add New Company",添加新公司
(me),（我）
"Company Name:",公司名称：
"Company Legal Name:",公司法定名称：
"Company Email:",公司电子邮件：
"Street Address:",街道地址:
City:,城市:
Country:,国家:
State/Province:,州/省:
"ZIP/Postal Code:",邮编:
"Phone Number:","电话号码： "
"Job Title:",职位：
"Email Address:",电子邮件地址︰
Prefix:,前缀：
"First Name:",名
"Middle Name/Initial:",中间名/缩写：
"Last Name:",姓氏：
Suffix:,后缀：
Gender:,性别：
"A total of %1 record(s) were updated.","更新记录 %1"
"A total of %1 record(s) were deleted.","共有 %1 条记录被删除。"
"Add New Role",添加新角色
"Edit Role",编辑角色
Rejected,拒绝
"The user %1 is the company admin and cannot be set to inactive. You must set another user as the company admin first.","用户 %1 是公司管理员，不能设置为停用。您必须先设置另一个用户作为公司管理员。"
"Invalid login or password.",无效的登录名或密码。
"This account is locked.",此帐户被锁定。
"Invalid value of ""%value"" provided for the %fieldName field.","为% fieldName字段提供“% value”的无效值。"
"No such entity with %fieldName = %fieldValue","没有任何具有% fieldName = % fieldValue的实体"
"Type %1 is not an instance of %2","类型 %1 不是 %2 的实例"
"The selected user is inactive. To continue, select another user or activate the current user.",所选用户处于停用状态。要继续，请选择另一个用户或激活当前用户。
"Something went wrong",出了些问题
"Exception message",异常消息
test,测试
"Localized Exception.",本地化例外。
"Error message",错误消息
"error message",错误消息
"Role Name",角色名称：
"Please select a region, state or province.",请选择一个地区，州或省。
"Phone Number",电话号码
"User Role",用户角色
"You have no other address entries in your address book.",在你的地址簿中没有其他地址条目。
Contacts,联系人
"Role Information",角色信息
"Save Role",保存角色
"Add New User",添加新用户
"Create an Account",创建帐户
"Your account has been set to inactive and you cannot now access the company account. If you think this is a mistake, please contact your manager for details.","您的帐户已设置为非激活帐户，您现在不能访问公司帐户。 如果您认为这是一个错误，请联系您的管理员了解详情。"
"%name,",%名称，
"When you sign in to your account, you will be able to:",当您登录到您的帐户时，您将能够:
"This action cannot be undone. Are you sure you want to delete this company? After the company is deleted, all the company members will be set to Inactive.","此操作不能撤消。 您确定要删除这个公司吗？在公司被删除后，所有公司成员将被设置为停用。"
"Edit User",编辑用户
"Set Inactive",设为停用
Comma-separated,以逗号分隔
"Default 'Company Admin Inactive' Email","默认""公司管理员停用""邮件"
"Default 'Customer Status Inactive' Email",默认“客户状态未激活”电子邮件
"This action cannot be undone. Are you sure you want to delete the selected companies? After the company is deleted, all the company members will be set to Inactive.","此操作不能撤消。 您确定要删除这个公司吗？在公司被删除后，所有公司成员将被设置为停用。"
Comment,评论
ZIP,邮编
Gender,性别
Prefix,前缀
"Middle Name/Initial",中间名/缩写
Suffix,后缀
"The user <%- username %> is the company admin and cannot be set to inactive. You must set another user as the company admin first.","用户 %1 是公司管理员，不能设置为停用。您必须先设置另一个用户作为公司管理员。"
"My Orders",我的订单
"Create New Customer",创建新客户
Users,用户管理
"The requested Payment Method is not available.",付款方法不可用。
Updated,已更新
Purchased,已购买
Reverted,回复
"Store Credit",店铺信用
"We refunded %1 online.","我们在线退款% 1。"
"We refunded %1 offline.","我们离线退还% 1。"
"No such entity",没有这种实体
"Order # %1","订单 #%1"
"This is a required field.",这是必填的字段。
Rate,费率
Date,日期
Operation,操作
"Payment Methods",付款方式
"Default Config",默认配置
"Save Config",保存配置
"Use system value",使用系统值
"Use Website",使用网站
Add,添加
"Delete File",删除文件
"Search String",搜索字符串
"Design Theme",设计网站模板
"Add \Exception","添加 \例外"
"-- No Theme --","— — 无主题 — —"
"%1 should implement %2","%1 必须实现 %2"
"The value you set has already been locked. To change the value, use the --%1 option.","你设置的值已被锁定。若要更改值，请使用--%1 选项。"
%1,1%
"You saved the configuration.",您已保存配置。
"Something went wrong while saving this configuration:",保存此配置时，出现了错误:
"Please specify the admin custom URL.","请指定管理员自定义 URL。"
"Invalid %1. %2","无效的 %1。%2"
"Value must be a URL or one of placeholders: %1","值必须是一个 URL 或占位符之一: %1"
"Specify a URL or path that starts with placeholder(s): %1, and ends with ""/"".","指定 URL 或路径开头预留: %1，并以""/""。"
"%1 An empty value is allowed as well.","%1 空值也被允许。"
"Specify a fully qualified URL.","指定一个完全合格的 URL。"
"Selected allowed currency ""%1"" is not available in installed currencies.","所选允许的货币""%1""在已安装货币中不可用。"
"Default display currency ""%1"" is not available in allowed currencies.","默认显示货币""%1""在允许货币中不可用。"
"Sorry, we haven't installed the base currency you selected.",对不起，我们还没有安装您选择的基础货币。
"Sorry, we haven't installed the default display currency you selected.",对不起，我们还没有安装您选择的默认显示货币。
"Sorry, the default display currency you selected is not available in allowed currencies.",很抱歉，您所选的默认显示货币不可允许货币。
"The sender name ""%1"" is not valid. Please use only visible characters and spaces.",发送方名称“%1”是无效的。请只使用可见的字符和空格。
"Maximum sender name length is 255. Please correct your settings.","最大发件人名称长度是 255。请更正您的设置。"
"The file you're uploading exceeds the server size limit of %1 kilobytes.","您所上传的文件超过服务器 %1 千字节的大小限制。"
"The base directory to upload file is not specified.",未指定要上载文件的基目录。
"The specified image adapter cannot be used because of: %1",指定的图像适配器不能使用，因为:%1
"Default scope",默认范围
"Base currency",基础货币
"Display default currency",显示默认货币
"website(%1) scope","网站(% 1)范围"
"store(%1) scope","商店(%1) 范围"
"Currency ""%1"" is used as %2 in %3.","作为 %2 在 %3 中使用货币""%1""。"
"Always (during development)","总是 (发育)"
"Only Once (version upgrade)","只有一次 (版本升级)"
"Never (production)","从来没有 (生产)"
Bcc,抄送
"Separate Email",单独的电子邮件
"%1 (Default)","%1 (默认值)"
title,标题
Optional,可选
"HTTP (unsecure)","HTTP (不安全)"
"Yes (302 Found)","是的 (302 发现)"
"Yes (301 Moved Permanently)","是的 (301 永久移动)"
Specified,指定
"Config form fieldset clone model required to be able to clone fields",配置表单fieldset克隆模型，以便能够克隆字段
"%1: Instance of %2 is expected, got %3 instead",%1:%2的实例，得到%3
"'There is no defined type ' .",那里是没有定义的类型。
"'Object is not instance of ' .","' 对象不是实例的 '。"
"Filesystem is not writable.",文件系统不是可写的。
"Some error",某些错误
"Some message",一些消息
"This command is unavailable right now.",现在，此命令将不可用。
"The ""test/test/test"" path does not exists","""测试/测试""路径不存在"
"some prefix",一些前缀
"element label",元素标签
"element hint",元素的提示
"element comment",元素的评论
"element tooltip",元素的工具提示
"Add after",添加后
"Current Configuration Scope:",当前的配置作用域:
"Group Label",组标签
"Some Label",有些标签
"Tab Label",选项卡标签
"Field 2","字段 2"
"Field 3","字段 3"
"Field 3.1","字段 3.1"
"Field 3.1.1","3.1.1 字段"
"Field 4","字段 4"
"Advanced Section",高级部分
"Advanced Admin Section",高级管理部分
"Design Section",设计节
"General Section",基础部分
"System Section",系统部分
"Currency Setup Section",货币设置部分
"Developer Section",开发人员部分
"Web Section",WEB部分
"Store Email Addresses Section",存储电子邮件地址部分
"Email to a Friend",推荐给朋友
"Product with assigned super attributes should not have specified ""%1"" value","具有已分配超级属性的产品不应指定 ""%1""的值"
"Add configurable attributes to the current Attribute Set (""%1"")",向当前属性集添加可配置属性(“%1”)
"Add configurable attributes to the new Attribute Set based on current",基于当前属性为新的属性集添加可配置属性
"New attribute set name",新的属性集名称
"Add configurable attributes to the existing Attribute Set",可配置的属性添加到现有的属性设置
"Choose existing Attribute Set",选择现有属性设置
Configurations,配置
"Attribute Values",属性值
"Bulk Images &amp; Price",大容量图像及价格
"Select Attributes",选择属性
"Choose an Option...",选择一个选项。
"This attribute is used in configurable products.",此属性用于在可配置的产品。
"Option with id ""%1"" not found","ID为“% 1”的选项未找到 "
"Option attribute ID is not specified.","不指定选项属性 ID。"
"Option label is not specified.",未指定选项标签。
"Option values are not specified.",不指定选项的值。
"Value index is not specified for an option.",值索引未指定选项。
"Product with id ""%1"" does not contain required attribute ""%2"".",id为“%1”的产品不包含必需的属性“%2”。
"Products ""%1"" and ""%2"" have the same set of attribute values.","产品""%1""和 %2 有相同的属性值集。"
"You can't add the item to shopping cart.",无法将该项目添加到购物车。
"Some product variations fields are not valid.",一些产品变化字段是无效的。
"Choose Affected Attribute Set",选择受影响的属性集
"Add configurable attributes to the current Attribute Set",可配置的属性添加到当前属性设置
Confirm,确认
"New Attribute Set Name",新的属性集的名称
"Select Associated Product",选择关联的产品
"Choose a new product to delete and replace the current product configuration.",选择一个新产品来删除和替换当前的产品配置。
"For better results, add attributes and attribute values to your products.",为了获得更好的结果，将属性和属性值添加到您的产品中。
"Configurable products allow customers to choose options (Ex: shirt color). You need to create a simple product for each configuration (Ex: a product for each color).",可配置的产品允许客户选择选项(例如:衬衫颜色)。您需要为每个配置创建一个简单的产品(例如:每种颜色的产品)。
"Configurations cannot be created for a standard product with downloadable files. To create configurations, first remove all downloadable files.",不能配置为标准的产品创建可下载文件。要创建的配置，请先删除所有可下载文件。
"Add Products Manually",手动添加产品
"Create Configurations",创建配置
"Current Variations",当前的变化
Weight,重量
"Custom options with price type ""percent"" is not available for configurable product.",价格类型“百分比”的定制选项对于可配置产品是不可用的。
"This group contains attributes used in configurable products. Please move these attributes to another group and try again.",此组包含用于配置产品的属性。请将这些属性移动到另一个组，然后重试。
"This attribute is used in configurable products. You cannot remove it from the attribute set.",该属性用于可配置的产品。您无法从属性集中删除它。
"Associated Products",相关产品
"Step 2: Attribute Values","第 2 步: 属性值"
"Select values from each attribute to include in this product. Each unique combination of values creates a unique product SKU.",从每个属性中选择值，以包含在该产品中。每个独特的值组合都创建了一个独特的产品SKU。
"Sort Variations",排序变化
Options,选项
"Deselect All",取消全选
"Remove Attribute",删除属性
"Save Option",保存选项
"Remove Option",删除选项
"Create New Value",创建新的值
"Step 3: Bulk Images, Price and Quantity","第 3 步: 批量图像、 价格和数量"
"Based on your selections %1 new products will be created. Use this step to customize images and price for your new products.",根据您的选择%1将会创建新的产品。使用这一步骤为您的新产品定制图像和价格。
"Apply single set of images to all SKUs","适用于所有 Sku 的图像的单集"
"Apply unique images by attribute to each SKU",将唯一的图像应用到每个SKU上
"Skip image uploading at this time",跳过这次上传的图像
"Remove image",删除图像
"Select attribute",选择属性
Select,选择
"Apply single price to all SKUs","适用于所有 Sku 的单一价格"
"Apply unique prices by attribute to each SKU",根据每个SKU的属性应用独特的价格
"Skip price at this time",在这个时候跳过价格
"Apply single quantity to each SKUs","适用于每个 Sku 单数量"
"Apply unique quantity by attribute to each SKU",根据每个SKU的属性应用唯一数量
"Skip quantity at this time",在这个时候跳过数量
"Step 1: Select Attributes","步骤 1: 选择属性"
"Selected Attributes:",选定的属性:
"Step 4: Summary","第 4 步: 摘要"
"Configurable products allow customers to choose options (Ex: shirt color).
            You need to create a simple product for each configuration (Ex: a product for each color).","可配置的产品让客户选择选项 (Ex: 衬衫的颜色)。            您需要创建一个简单的产品，为每个配置 (Ex: 为每种颜色的产品)。"
"Edit Configurations",编辑配置
"Upload Image",上传图片
"Upload image",上传图片
"No Image",没有图像
"Choose a different Product",选择一种不同的产品
"Create Product Configurations",创建产品配置
"New Product Review",新产品审查
"Here are the products you're about to create.",这里是你将要创建的产品。
"You created these products for this configuration.",您为该配置创建了这些产品。
"Disassociated Products",解除关联的产品
"These products are not associated.",这些产品不是关联的。
"Disable Product",禁用产品
"Enable Product",可用产品
"An attribute has been removed. This attribute will no longer appear in your configurations.",属性已被删除。此属性将不再显示在您的配置。
"Select options for all attributes or remove unused attributes.",为所有属性选择选项或删除未使用的属性。
"Choose this option to delete and replace extension data for all past configurations.",选择这个选项来删除和替换所有过去配置的扩展数据。
"Please select attribute for {section} section.","请选择 {section} 节的属性。"
"Please fill in the values for {section} section.","请填写 {section} 节的值。"
"Please fill-in correct values.",请填写正确的价值观。
"Please select image(s) for your attribute.",请为您的属性选择图像。
"Please choose image(s).",请选择图片(s)。
"When you remove or add an attribute, we automatically update all configurations and you will need to recreate current configurations manually.",当您删除或添加的属性时，我们会自动更新所有的配置，您将需要手动重新创建当前配置。
"Please select attribute(s).",请选择属性。
"Generate Products",生成产品
"Buy %1 for %2 each and",为%2购买%1
save,保存
"Configurable Product Image",可配置的产品图像
"Thanks for contacting us with your comments and questions. We'll respond to you very soon.",发送邮件至
"An error occurred while processing your form. Please try again later.",发生错误，请稍后尝试.
"Write Us",给我们写信
"Jot us a note and we’ll get back to you as quickly as possible.",我们会及时与您取得联系
"What’s on your mind?",您的留言
"Contact Form",邮件表单
"Contacts Section",联系人部分
"Contact Us",联系我们
"Enable Contact Us",启用与我们取得联系
"Email Options",电子邮件选项
"Send Emails To",发送电子邮件到
"Email Sender",电子邮件发件人
"Email Template",邮件模板
"Invalid domain name: %1","无效的域名: %1"
"Invalid cookie lifetime: %1","无效的 cookie 的生命周期: %1"
"Invalid cookie path","无效的 cookie 路径"
"We use cookies to make your experience better.","我们使用 cookie 来使你的体验更好。"
"To comply with the new e-Privacy directive, we need to ask for your consent to set the cookies.","为了遵守新的 e-隐私指令，我们需要问您同意设置的 cookie。"
"<a href=""%1"">Learn more</a>.","<a href=""%1""> 了解更多</a>。"
"Allow Cookies","允许使用 Cookie"
"Default Cookie Settings","默认 Cookie 设置"
"Cookie Lifetime","Cookie 的有效期"
"Cookie Path","Cookie 路径"
"Cookie Domain","Cookie 域"
"Use HTTP Only","只能使用 HTTP"
"Cookie Restriction Mode","Cookie 限制模式"
"We can't save the cron expression.","我们不能保存cron 表达式"
Daily,每天
Weekly,每月
Monthly,每月
"Invalid cron expression: %1","无效的 cron 表达式: %1"
"Invalid cron expression, expecting 'match/modulus': %1","无效的 cron 表达式，期待 ' 匹配与模量 ': %1"
"Invalid cron expression, expecting numeric modulus: %1","无效的 cron 表达式，期待数值模量: %1"
"Invalid cron expression, expecting 'from-to' structure: %1","无效的 cron 表达式，期待 '从-到' 结构: %1"
"Cron (Scheduled Tasks)","Cron (计划任务)"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set. All the times are in minutes.","为正确的 Url 生成期间 cron 运行请确认网络 > 安全和不安全基准网址显式设置。所有的时间都是在几分钟内。"
"Cron configuration options for group:","组的 Cron 配置选项:"
"Generate Schedules Every",生成时间表
"Schedule Ahead for",提前计划
"Missed if Not Run Within",如果不在内部运行，就会错过
"History Cleanup Every",历史记录清除每个
"Success History Lifetime",成功的历史寿命
"Failure History Lifetime",失败的历史寿命
"Use Separate Process",使用单独的进程
"Save Currency Rates",保存货币汇率
"Manage Currency Rates",管理汇率
"Import Service",导入服务
"Save Currency Symbols",保存货币符号
"Currency Symbols",货币符号
"Use Standard",使用标准
"Click ""Save"" to apply the rates we found.","单击""保存""以应用我们发现率。"
"Currency Rates",货币汇率
"Please correct the input data for ""%1 => %2"" rate.","请更正""%1 => %2""率的输入的数据。"
"All valid rates have been saved.",所有有效的汇率已被保存。
"You applied the custom currency symbols.",你应用了自定义的货币符号。
"You must first configure currency options before being able to see currency rates.",在看货币汇率之前你必须先配置货币选项
"Old rate:",旧率:
"The current module XML block name is undefined.",属性代码无效。请在此字段只能使用字母（az），''数字（0-9）或下划线（_）。第一字符应该是一个字母。
"The current module form model pathname is undefined.",当前模块的形式模型路径名是未定义的。
"Use helper with defined EAV entity.",使用辅助与定义EAV实体。
"Default EAV Form","默认 EAV 表单"
"Please correct the values for minimum and maximum text length validation rules.",请更正这些值为最小值和最大文本长度验证规则。
"Please correct the values for minimum and maximum date validation rules.",请更正这些值为最小值和最大日期验证规则。
"Text Field",文本区
"Text Area",文本区域
"Multiple Line",多行
Yes/No,URL
"File (attachment)","文件 (附件)"
"Image File",图像文件
Alphanumeric,字母表
"Numeric Only",只有数字
"Alpha Only",只有阿尔法
"Strip HTML Tags","带 HTML 标签"
"Escape HTML Entities","转义HTML 实体"
"Normalize Date",正常化日期
"The attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscores (_) in this field. The first character should be a letter.","属性代码是无效的。请使用只可以包含字母 (a 到 z)，' ' 数字 (0-9) 或下划线 (_) 在这一领域。第一个字符应该是一封信。"
"You are subscribed to our newsletter.",您已订阅我们的最新资讯。
"You aren't subscribed to our newsletter.",您未订阅我们的最新资讯。
"You have not set a default shipping address.",您没有设置默认的送货地址。
"You have not set a default billing address.",您没有设置默认的帐单地址。
"Address Book",通讯簿
"Edit Address",更改账单地址
"Add New Address",添加新地址
region,地区
"Save Customer",保存客户
"Reset Password",重置密码
"Are you sure you want to revoke the customer's tokens?",你确定你想要撤销客户的令牌?
"Force Sign-In",强制登录
"New Customer",新用户
"Shopping Cart from %1","从 %1 购物车"
Newsletter,最新资讯
"Newsletter Information",最新资讯信息
"Subscribed to Newsletter",订阅最新资讯
"Last Date Subscribed",订阅期限
"Last Date Unsubscribed",取消订阅期限
"No Newsletter Found",未找到最新资讯
"Start date",开始日期
"Receive Date",接收日期
Subject,主题
Sent,已发送
"Not Sent",未发送
Sending,发送
Paused,已暂停
Unknown,未知
"Bill-to Name",收件人姓名
"Ship-to Name",Ship-to名称
"Purchase Point",购买点
"There are no items in customer's shopping cart.",客户的购物车中没有项目。
Confirmed,确认
"Confirmation Required",需要确认
"Confirmation Not Required",不需确认
Indeterminate,不确定
"The customer does not have default billing address.",客户没有默认的帐单地址。
Offline,离线
Online,在线
Never,永不
Unlocked,已解锁
Locked,已锁定
"Deleted Stores",已删除存储区
"Add Locale",收藏的天数
"Add Date",添加日期
"Days in Wish List",天在愿望清单
Unlock,解锁​​​​
"Delete Image",全尺寸视图
"View Full Size",查看全部尺寸
"All countries",所有国家
"Add New Customer Group",添加新客户组
"Save Customer Group",保存客户组
"Delete Customer Group",删除客户组
"New Customer Group",新的客户群体
"Edit Customer Group ""%1""","编辑客户组""%1"""
"Group Information",组信息
"Group Name",群组名称
"Maximum length must be less then %1 characters.","最大长度必须小于 %1 个字符。"
"Tax Class",税收类
"The customer is now assigned to Customer Group %s.","客户现在分配给客户组 %s。"
"Would you like to change the Customer Group for this order?",你想要改变此订单的客户组吗？
"The VAT ID is valid.","增值税 ID 是有效的。"
"The VAT ID entered (%s) is not a valid VAT ID.","输入的增值税 ID (%s) 不是一个有效增值税 id。"
"The VAT ID is valid. The current Customer Group will be used.","增值税 ID 是有效的。将使用当前的客户组。"
"The VAT ID is valid but no Customer Group is assigned for it.","增值税 ID 是有效的但没有客户组分配给它。"
"Based on the VAT ID, the customer belongs to the Customer Group %s.","基于增值税 ID，客户属于客户组 %s。"
"Something went wrong while validating the VAT ID.","验证增值税 id时出现问题。"
"The customer would belong to Customer Group %s.","客户将属于客户组 %s。"
"There was an error detecting Customer Group.",检测客户组时出错。
"Validate VAT Number",验证增值税号码
"Date of Birth",出生日期
"Bad request.",请求有误。
"This confirmation key is invalid or has expired.",此确认密钥无效或已过期。
"There was an error confirming the account",确认该帐户时出错
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your shipping address for proper VAT calculation.","如果你是一个注册的增值税客户，请在这里点击< a href = "" % 1 "" >来输入你的送货地址，以进行增值税的计算。"
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your billing address for proper VAT calculation.","如果你是一个注册的增值税客户，请在这里点击< a href = "" % 1 "" >来输入你的账单地址，以进行适当的增值税计算。"
"Thank you for registering with %1.","感谢您注册与 %1。"
"Please check your email for confirmation key.",请检查您的电子邮件以确认。
"This email does not require confirmation.",这封电子邮件不要求确认。
"Wrong email.",错误的电子邮件。
"Your password reset link has expired.",您的密码重置链接已过期。
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","已存在此电子邮件地址的帐户。如果你确信它是您的电子邮件地址，<a href=""%1""> 请单击此处</a> 以获取您的密码和访问您的帐户。"
"We can't save the customer.",我们不能保存客户。
"Please make sure your passwords match.",请确保您的密码相匹配。
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your shipping address for proper VAT calculation.","如果你是一个注册的增值税客户，请在这里输入“% 1”>，进入你的送货地址，以进行适当的增值税计算。
"
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your billing address for proper VAT calculation.","如果你是一个注册的增值税客户，请在这里输入“% 1”>，以进入你的账单地址，以进行适当的增值税计算。"
"You saved the account information.",你保存的帐户信息。
"Password confirmation doesn't match entered password.",确认密码与输入的密码不匹配。
"We're unable to send the password reset email.",我们无法发送重新设置密码的电子邮件。
"Please enter your email.",请输入您的电子邮箱地址。
"If there is an account associated with %1 you will receive an email with a link to reset your password.","如果与 %1 相关联的帐户，则您将收到电子邮件链接重置您的密码。"
"This account is not confirmed. <a href=""%1"">Click here</a> to resend confirmation email.","此帐户尚未确认。<a href=""%1""> 点击这里</a> 重新发送确认电子邮件。"
"An unspecified error occurred. Please contact us for assistance.",发生未知的错误，需要帮助请联系我们。
"A login and a password are required.",登录名和密码是必需的。
"New Password and Confirm New Password values didn't match.",新密码和确认新密码不匹配。
"Please enter a new password.",请输入一个新密码。
"You updated your password.",您更新您的密码。
"Something went wrong while saving the new password.",保存新密码时出了错。
"You deleted the address.",你删除地址。
"We can't delete the address right now.",我们现在不能删除该地址。
"You saved the address.",你保存的地址。
"We can't save the address.",我们不能保存地址。
"You have revoked the customer's tokens.",你已吊销客户的令牌。
"We can't find a customer to revoke.",我们找不到客户撤销。
"Something went wrong while saving file.",保存选项时出现错误。
"You deleted the customer group.",你删除客户组。
"The customer group no longer exists.",客户组不再存在。
"New Group",新组
"New Customer Groups",新的客户群体
"Edit Group",编辑组
"Edit Customer Groups",编辑客户组
"You saved the customer group.",你保存的客户组。
"Please select customer(s).",请选择客户。
"Customer could not be deleted.",无法删除客户。
"You deleted the customer.",你删除的客户。
"Something went wrong while editing the customer.",编辑客户时出现问题。
"Manage Customers",客户管理
"The customer will receive an email with a link to reset password.",客户将收到一个带有重置密码链接的电子邮件。
"Something went wrong while resetting customer password.",在重新设置客户密码时出现了问题。
"You saved the customer.",你保存的客户。
"Something went wrong while saving the customer.",编辑客户时出了错。
"Customer has been unlocked successfully.",客户已成功解锁。
"Online Customers",在线客户
"Customers Now Online",客户现在在线
"Please define Wish List item ID.",请定义愿望列表项的ID。
"Please load Wish List item.",请加载的收藏列表项。
"Login successful.",登录成功。
"%1 doesn't extend \Magento\Customer\CustomerData\SectionSourceInterface","%1 不延长 \Magento\Customer\CustomerData\SectionSourceInterface"
"The account is locked.",此帐户被锁定。
"Please enter a password with at most %1 characters.","请输入最多% 1字符的密码。"
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","密码中的字符的不同类的最低是 %1。字符类： 小写、 大写、 数字、 特殊字符。"
"This customer already exists in this store.",这个客户已经存在在这个商店中。
"Reset password token expired.",重置密码令牌到期。
"""%1"" is a required value.",“%1”的长度必须等于或小于%2个字符。
"Per Website",每个网站
"We can't share customer accounts globally when the accounts share identical email addresses on more than one website.",当帐户共享相同的电子邮件地址，多个网站上，我们不能全局共享客户帐户。
"No such entity with %fieldName = %fieldValue, %field2Name = %field2Value","没有这种实体与 %fieldName = %fieldValue，%field2Name = %field2Value"
"Unable to create directory %1.","无法创建目录: %1"
"Destination folder is not writable or does not exists.",目标文件夹不可写，或不存在。
"Something went wrong while saving the file.",在保存文件(s)时出现了问题
"Attribute object is undefined",未定义的属性对象
"""%1"" invalid type entered.","""%1""输入的类型无效。"
"""%1"" contains non-alphabetic or non-numeric characters.","""%1""中包含非字母或非数字字符。"
"""%1"" is an empty string.","""%1""是一个空字符串。"
"""%1"" contains non-numeric characters.","""%1""包含非数字字符。"
"""%1"" contains non-alphabetic characters.","""%1""中包含非字母字符。"
"""%1"" is not a valid email address.","""%1""不是一个有效的电子邮件地址。"
"""%1"" is not a valid hostname.","""%1""不是一个有效的主机名。"
"""%1"" uses too many characters.","""%1""使用太多的字符。"
"'%value%' looks like an IP address, which is not an acceptable format.","'%value%' 看上去像一个 IP 地址，不是一种可接受的格式。"
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.","'%value%' 看上去像一个 DNS 主机名，但包含一个破折号在无效的位置。"
"'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.","% '看起来像一个DNS主机名，但是我们无法将它与TLD ' % TLD % '的主机名模式相匹配。"
"'%value%' looks like a DNS hostname but cannot extract TLD part.","'%value%' 看上去像一个 DNS 主机名，但不能提取 TLD 部分。"
"'%value%' does not look like a valid local network name.","'%value%' 不像一个有效的本地网络名称。"
"'%value%' looks like a local network name, which is not an acceptable format.","'%value%' 看上去像一个本地网络名称，不是一种可接受的格式。"
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","'%value%' 似乎是一个 DNS 主机名，但不能解码的给定的 punycode 符号。"
"""%1"" is not a valid URL.","""%1""不是一个有效的 URL。"
"""%1"" is not a valid date.","""%1""不是一个有效的日期。"
"""%1"" does not fit the entered date format.","“% 1”不符合输入日期格式。"
"Please enter a valid date between %1 and %2 at %3.","请在% 1和% 2之间输入有效日期。"
"Please enter a valid date equal to or greater than %1 at %2.","请输入一个有效的日期等于或大于 %1 在 %2。"
"Please enter a valid date less than or equal to %1 at %2.","请输入较少或等于 %1 在 %2 有效日期。"
"""%1"" is not a valid file extension.","""%1""不是一个有效的文件扩展名。"
"""%1"" is not a valid file.","""%1""不是一个有效的文件。"
"""%1"" exceeds the allowed file size.","""%1""超出了允许的文件大小。"
"""%1"" is not a valid image format.","""%1""不是有效的图像格式。"
"""%1"" width exceeds allowed value of %2 px.","“% 1”的宽度超过允许的% 2像素。"
"""%1"" height exceeds allowed value of %2 px.","“% 1”的高度超过允许的% 2像素。"
"""%1"" length must be equal or greater than %2 characters.","""%1""长度必须等于或大于 %2 个字符。"
"""%1"" length must be equal or less than %2 characters.","""%1""长度必须等于或小于 %2 字符。"
"You can't delete group ""%1"".","您不能删除组""%1""。"
"Customer Group already exists.",客户组已存在。
"Cannot delete group.",无法删除组。
"Error during VAT Number verification.",增值税号码验证期间出现错误。
"PHP SOAP extension is required.","PHP SOAP 扩展是必需的。"
"VAT Number is valid.",VAT号码无效。
"Please enter a valid VAT number.","请输入一个有效的 VAT 号码。"
"Your VAT ID was successfully validated.","你VAT ID 被成功验证。"
"You will be charged tax.",你将被收取税收。
"You will not be charged tax.",你不需要缴税。
"The VAT ID entered (%1) is not a valid VAT ID.","输入的VAT ID (%s) 不是一个有效VAT ID。"
"Your Tax ID cannot be validated.","无法验证您的Tax ID。"
"If you believe this is an error, please contact us at %1","如果你认为这是错误的请致电 %1"
Male,男性
Female,女性
"Not Specified",未指定
"Validator Exception",验证程序异常
"Localized Exception",本地化异常
"NOT LOGGED IN",未登录
"Please enter the state/province.",请输入省/市/自治区。
"region is a required field.",此为必填字段。
Label,标签
Visitor,游客
"Personal Information",个人信息
"Last Logged In:",上次登录:
"Last Logged In (%1):","上次登录在 (%1):"
"Account Lock:",账户锁定
"Confirmed email:",已确认的电子邮件:
"Account Created:",创建的帐户:
"Account Created on (%1):","(%1) 上创建的帐户:"
"Account Created in:",在中创建的帐户:
"Customer Group:",客户组
"Default Billing Address",创建帐号
"Sales Statistics",销售统计
"Average Sale",平均销售
"Manage Addresses",管理地址
"Default Shipping Address",默认送货地址
"Contact Information",联系信息
"Change Password",更改密码
Newsletters,通讯
"You are subscribed to ""General Subscription"".","您订阅了 ""一般订阅""。"
"Default Addresses",默认地址
"Change Billing Address",更改账单地址
